NR_FAKT NAZWA LP JEZYK SR MIN MAX KWOTA VAT KARTA MIEJSCE DATEin DATEsell DATEpay WORKER TIME
FN_3/17 DD_ee 10 polski 169.404369502 150.041065637 188.767673368 1694.04369502 False True Lublin 2017-08-11 2017-08-02 14 D 21.8294573058
FN_9/17 AA_cc 27 polski 14.741540033 -10.4904798286 39.9735598946 398.02158089 True False Warszawa 2017-08-05 2017-07-24 7 D 10.0770748666
FN_11/17 JJ_cc 8 polski 5833.67618102 3823.39792598 7843.95443606 46669.4094482 False False Sopot 2017-01-30 2017-01-20 14 D 28.0744439233
FN_6/17 II_jj 26 angielski 5.97414283517 -10.2726540016 22.2209396719 155.327713714 True False Londyn 2018-09-01 2018-08-30 30 D 9.72956946037
FN_15/17 DD_ee 7 polski 4668.61060639 3741.17917483 5596.04203795 32680.2742447 False False Sopot 2018-12-06 2018-11-27 30 D 27.1256643849
FN_10/17 HH_gg 5 polski 1679.77098326 1541.190643 1818.35132353 8398.85491632 False False Lublin 2018-03-20 2018-03-15 14 D 23.7473185501
FN_5/17 EE_ff 5 angielski 11693.8320718 7800.47001894 15587.1941246 58469.1603588 False False Londyn 2018-05-31 2018-05-24 7 D 30.7428332162
FN_6/17 HH_jj 3 angielski 10090.5565912 8792.36951641 11388.743666 30271.6697736 False False Londyn 2018-03-18 2018-03-06 14 D 27.0735156677
FN_14/17 II_cc 2 polski 5920.08580388 4496.66474697 7343.50686078 11840.1716078 False False Warszawa 2018-03-05 2018-03-02 14 D 22.6652667119
FN_3/17 BB_ff 7 polski 2933.19549133 1483.49838141 4382.89260125 20532.3684393 False False Lublin 2018-01-08 2018-01-05 14 D 24.074272985
FN_10/17 JJ_ee 2 polski 9957.44754699 8060.70260552 11854.1924885 19914.895094 False False Lublin 2017-01-10 2016-12-27 30 D 22.4358600447
FN_1/17 DD_jj 4 polski 2662.52194517 1780.58019144 3544.46369891 10650.0877807 False False Warszawa 2017-02-07 2017-01-30 7 D 24.1483255006
FN_15/17 AA_cc 7 angielski 10579.1599297 8338.87545155 12819.4444079 74054.1195082 True False Londyn 2018-03-10 2018-03-08 7 D 22.2141382493
FN_7/17 II_gg 25 polski 5.58267760325 -5.83377420943 16.9991294159 139.566940081 True False Warszawa 2018-06-22 2018-06-19 30 D 9.90553583021
FN_5/17 GG_ff 4 polski 5552.59749346 3356.15318089 7749.04180603 22210.3899738 True False Warszawa 2017-06-21 2017-06-20 14 D 20.9189645128
FN_12/17 EE_gg 1 polski 7104.97176293 4915.0820117 9294.86151416 7104.97176293 False False Lublin 2018-03-23 2018-03-12 7 D 23.2877883632
FN_12/17 JJ_ff 7 polski 2274.03287846 1458.66970154 3089.39605539 15918.2301492 False False Warszawa 2018-09-30 2018-09-17 30 D 26.3121974074
